Doença,Medicamentos,Tratamentos
Gripe,"Paracetamol, Ibuprofeno, Antivirais (oseltamivir)","Repouso, hidratação, alimentação equilibrada, uso de descongestionantes nasais"
COVID-19,"Paracetamol, Ibuprofeno, Antivirais (remdesivir, molnupiravir), Corticoides (dexametasona)","Isolamento social, hidratação, oxigenoterapia, ventilação mecânica em casos graves"
Diabetes tipo 2,"Metformina, Sulfonilureias, Inibidores da DPP-4, Insulina","Dieta balanceada, controle de peso, atividade física regular, monitoramento de glicemia"
Artrite Reumatoide,"Metotrexato, Sulfassalazina, Anticorpos monoclonais (tocilizumabe), Corticoides","Fisioterapia, repouso, manejo do estresse, exercícios de alongamento"
Infecção Urinária,"Antibióticos (nitrofurantoína, ciprofloxacino)","Hidratação, evitar retenção urinária, práticas de higiene adequadas"
Hipertensão,"Inibidores da ECA (captopril, enalapril), Betabloqueadores (atenolol), Diuréticos (furosemida)","Redução do sal na dieta, exercícios físicos, controle do estresse, redução de peso"
Asma,"Broncodilatadores (salbutamol), Corticoides inalados (budesonida), Antileucotrienos","Evitar gatilhos alérgicos, exercícios respiratórios, controle ambiental"
Resfriado comum,"Paracetamol, Ibuprofeno, Antihistamínicos","Descanso, hidratação, umidificação do ar, gargarejo com água salgada"
Infecção de ouvido,"Antibióticos (amoxicilina), Analgésicos (paracetamol)","Compressas mornas, repouso, evitar água nos ouvidos"
Bronquite,"Antibióticos (em casos bacterianos), Broncodilatadores (salbutamol), Corticoides","Repouso, hidratação, evitar fumaça e poluentes"
Malária,"Cloroquina, Artemisinina, Mefloquina","Repouso, hidratação, prevenção com mosquiteiros, controle de mosquitos"
Doença cardíaca,"Aspirina, Betabloqueadores (atenolol), Inibidores da ECA (enalapril), Estatinas","Dieta saudável, exercícios, cessação do tabagismo, controle da pressão arterial"
Acidente Vascular Cerebral (AVC),"Trombólise (alteplase), Anticoagulantes (heparina), Aspirina","Fisioterapia, reabilitação, controle de fatores de risco como hipertensão e diabetes"
Tuberculose,"Rifampicina, Isoniazida, Pirazinamida, Etambutol","Repouso, alimentação rica em nutrientes, evitar contato com outras pessoas durante o tratamento"
Anemia,"Suplementos de ferro, Ácido fólico, Vitamina B12","Dieta rica em ferro, aumento do consumo de vegetais de folhas verdes, carnes vermelhas"
Doença de Alzheimer,"Inibidores da acetilcolinesterase (donepezil), Memantina","Estímulo cognitivo, fisioterapia, suporte emocional e social"
Doença Renal,"Inibidores da ECA, Diuréticos, Hemodiálise","Controle da pressão arterial, dieta com restrição de sódio, monitoramento da função renal"
Acne,"Peróxido de benzoíla, Antibióticos tópicos (clindamicina), Isotretinoína","Cuidados com a pele, evitar exposição ao sol excessiva, dieta balanceada"
